Direction,District,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Type,Year
北,五里店,47,中冶重庆早晨,106104943205,1室0厅,71,江北,简装,49.0,塔楼,2013
南,海尔路,33,北大资源江山名门,106105181445,2室2厅,105,江北,精装,79.0,塔楼,2016
南北,五里店,30,珠江太阳城C区,106105269669,2室1厅,125,江北,毛坯,71.0,塔楼,2010
东南,五里店,47,中冶重庆早晨,106104800196,2室1厅,110,江北,精装,67.0,塔楼,2013
南,江北嘴,45,中海紫御江山熙岸,106105228921,3室1厅,245,江北,精装,117.0,塔楼,2016
东北,江北嘴,33,新鸥鹏教育城二期,106105306636,3室2厅,185,江北,毛坯,99.0,塔楼,2018
东北,海尔路,33,北大资源江山名门,106103006186,2室1厅,86,江北,毛坯,79.0,塔楼,2016
南,鸿恩寺,21,保利江上明珠锦园,106105102484,4室2厅,223,江北,精装,139.0,塔楼,2014
东南,江北嘴,6,万科御澜道,106105363371,3室2厅,210,江北,毛坯,97.0,塔楼,2018
南,北滨路,33,国兴北岸江山,106105204252,1室0厅,55,江北,精装,32.0,塔楼,2013
北,龙头寺,30,鲁能星城七街区,106105329181,2室1厅,180,江北,精装,87.0,板楼,2007
南,五里店,30,新鸥鹏教育城一期,106105324604,3室1厅,178,江北,毛坯,98.0,塔楼,2017
东,北滨路,33,国兴北岸江山,106105345479,3室1厅,122,江北,精装,78.0,塔楼,2016
东南,北滨路,66,恒大御龙天峰,106105361998,3室1厅,230,江北,精装,132.0,塔楼,2018
东南,五里店,31,融景城尚峰,106104498357,3室2厅,179,江北,精装,94.0,塔楼,2015
东,石马河,14,万科悦湾北区,106105085548,2室1厅,110,江北,精装,76.0,板楼,2016
东南南,五里店,47,中冶重庆早晨,106105341994,2室1厅,108,江北,精装,59.0,塔楼,2013
西,五里店,30,新鸥鹏教育城一期,106102284501,3室2厅,178,江北,毛坯,104.0,塔楼,2017
南,五里店,31,阳光100,106104596356,1室0厅,64,江北,精装,46.0,塔楼,2009
西,石子山,32,龙湖源著南区,106105042303,1室1厅,126,江北,精装,56.0,塔楼,2012
东,龙头寺,31,鲁能星城七街区,106105099281,3室2厅,170,江北,简装,119.0,板楼,2007
西北,观音桥,33,聚金花园,106105316573,3室2厅,120,江北,简装,103.0,板塔结合,2005
东,江北嘴,33,新鸥鹏教育城二期,106102243822,3室1厅,165,江北,毛坯,99.0,塔楼,2018
东南,南桥寺,33,保利香雪,106105159409,3室2厅,160,江北,精装,95.0,塔楼,2010
东,大石坝,19,东方明珠,106105170027,2室1厅,92,江北,精装,50.0,板楼,2008
东,观音桥,33,青青雅舍,106105180453,3室1厅,109,江北,精装,93.0,塔楼,2007
北,冉家坝,23,蜂巢,106105202725,3室2厅,122,江北,精装,92.0,板楼,2007
东南,北滨路,32,招商江湾城,106105214718,3室2厅,268,江北,精装,139.0,塔楼,2011
南,鸿恩寺,30,保利江上明珠畅园,106105318122,3室2厅,156.3,江北,精装,101.0,塔楼,2014
南北,北滨路,49,恒大御龙天峰,106103614739,3室1厅,225,江北,毛坯,120.0,塔楼,2016
西南,江北嘴,11,万科御澜道,106103672716,4室2厅,290,江北,毛坯,156.0,塔楼,2018
西南,大石坝,18,东方港湾,106103765586,4室2厅,152,江北,精装,142.0,塔楼,2010
东南,北滨路,30,珠江太阳城A区,106103780660,3室2厅,220,江北,精装,125.0,塔楼,2009
南,北滨路,37,龙湖春森彼岸,106103814110,4室2厅,286,江北,精装,163.0,塔楼,2008
东,鸿恩寺,17,保利江上明珠四期,106103830132,3室2厅,265,江北,毛坯,156.0,塔楼,2012
西南,南桥寺,33,悠哉悠宅,106103839586,3室2厅,150,江北,精装,101.0,塔楼,2012
东南,江北嘴,15,中海紫御江山熙岸,106103860685,4室2厅,370,江北,毛坯,168.0,塔楼,2016
南,北滨路,33,国兴北岸江山,106103864718,4室2厅,248,江北,毛坯,179.0,塔楼,2014
西南,鸿恩寺,8,保利山庄海棠,106103904356,4室2厅,300,江北,简装,133.0,板楼,2016
东南,鸿恩寺,30,保利江上明珠畅园,106103959985,4室2厅,185,江北,精装,122.0,塔楼,2014
南北,北滨路,16,恒大御龙天峰,106103975115,4室2厅,272,江北,毛坯,144.0,塔楼,2015
南,五里店,18,红枫庭,106103977664,4室2厅,145,江北,精装,145.0,塔楼,2004
东,南桥寺,11,光华南桥人家花园,106103984842,4室2厅,136,江北,简装,132.0,塔楼,2004
东,北滨路,38,龙湖春森彼岸,106104003191,3室1厅,200,江北,精装,96.0,塔楼,2008
南北,五里店,11,金叶世家,106104031928,4室1厅,265,江北,简装,192.0,塔楼,2003
南,北滨路,25,融景城融御,106104034457,4室2厅,480,江北,毛坯,232.0,板楼,2015
南,北滨路,31,金科金砂水岸,106104035826,4室3厅,300,江北,毛坯,177.0,塔楼,2006
东北,江北嘴,31,中海紫御江山御湾,106104051374,3室2厅,250,江北,简装,115.0,塔楼,2015
东南,五里店,24,御庭苑,106104056417,2室2厅,110,江北,精装,89.0,塔楼,2001
南,南桥寺,32,保利香雪,106104071705,2室2厅,127,江北,精装,77.0,塔楼,2010
南,南桥寺,33,保利香雪,106104073879,3室2厅,165,江北,精装,97.0,塔楼,2010
南,北滨路,32,招商江湾城,106104077488,2室1厅,135,江北,精装,69.0,塔楼,2010
东南南,鸿恩寺,30,保利江上明珠畅园,106104100860,3室1厅,150,江北,毛坯,101.0,塔楼,2014
南东北,江北嘴,30,新鸥鹏教育城二期,106104164448,4室2厅,300,江北,毛坯,131.0,塔楼,2018
东,五里店,4,南方上格林蓝天苑,106104173942,4室2厅,270,江北,简装,185.0,板楼,2002
南,大石坝,33,科苑小区,106104180985,3室2厅,89.8,江北,精装,95.0,塔楼,2009
东南,大石坝,8,绿地御江山,106104199055,4室1厅,258,江北,毛坯,160.0,板楼,2015
西南,鸿恩寺,32,中凯翠海朗园,106104217984,3室2厅,220,江北,毛坯,144.0,塔楼,2009
东南,观音桥,31,富力海洋,106105166000,2室2厅,148,江北,精装,84.0,塔楼,2009
南,北滨路,49,恒大御龙天峰,106105175468,2室1厅,188,江北,其他,91.0,塔楼,2016
南北,石马河,34,金科十年城北区,106105183827,3室2厅,187,江北,其他,128.0,塔楼,2013
西,南桥寺,33,悠哉悠宅,106105185679,1室1厅,75,江北,毛坯,56.0,塔楼,2012
北,北滨路,38,龙湖春森彼岸,106105216316,1室1厅,95,江北,精装,48.0,塔楼,2008
北,江北嘴,33,中海紫御江山紫峰,106105216931,3室1厅,260,江北,其他,136.0,塔楼,2013
西,五里店,47,中冶重庆早晨,106105222674,2室1厅,130,江北,其他,67.0,塔楼,2013
东,黄泥磅,29,御景天成,106105225643,3室2厅,130,江北,其他,88.0,塔楼,2006
西南,江北嘴,46,寰宇天下天悦,106105225891,3室1厅,502,江北,其他,143.0,塔楼,2016
南,观音桥,14,嘉陵五村,106105229798,2室1厅,68,江北,其他,59.0,塔楼,2003
北,黄泥磅,23,御景天成,106105240807,2室1厅,104,江北,其他,67.0,塔楼,2006
北,黄泥磅,23,御景天成,106105241558,1室1厅,100,江北,其他,67.0,塔楼,2006
南西南,石马河,18,国奥村时光漫,106105244776,3室2厅,152,江北,其他,98.0,板塔结合,2018
东南,观音桥,30,半山华府,106105245759,2室1厅,120,江北,其他,62.0,板楼,2010
西,五里店,33,曼哈顿,106105252185,2室2厅,116,江北,其他,76.0,板塔结合,2007
东,观音桥,18,万科兴城,106105256084,3室1厅,88,江北,精装,65.0,塔楼,2000
东,观音桥,11,金地花园,106105259280,1室1厅,82,江北,简装,60.0,塔楼,2007
南,石子山,33,龙湖源著北区,106105263553,3室2厅,220,江北,其他,119.0,塔楼,2011
西北,南桥寺,29,明渝南桥丽景,106105268060,2室1厅,86,江北,其他,73.0,塔楼,2008
南北,龙头寺,26,长安华都,106105001781,3室2厅,198,渝北,精装,127.0,塔楼,2006
东,园博园,33,美利山公园城市,106105018918,3室2厅,165,渝北,精装,98.0,塔楼,2012
东,照母山,33,融创凡尔赛领馆三期,106105031110,4室2厅,220,渝北,精装,113.0,塔楼,2017
南,汽博中心,6,奥林匹克花园雅典阳光,106105040850,3室2厅,205,渝北,精装,137.0,板楼,2006
西南,龙头寺,33,金科公园王府,106105044006,4室2厅,370,渝北,精装,157.0,板塔结合,2013
东南,翠云,33,联发瞰青,106105050120,3室2厅,125,渝北,精装,98.0,塔楼,2014
东南,鸳鸯,33,复地新城就,106105050791,4室2厅,230,渝北,精装,144.0,板塔结合,2013
南,空港新城,12,瑞丰花苑,106105051410,3室2厅,106,渝北,其他,96.0,板楼,2007
北,龙头寺,21,天缘居,106105052305,4室2厅,155,渝北,精装,143.0,塔楼,2004
东南,汽博中心,33,融创紫枫郡,106105058993,3室2厅,155,渝北,精装,101.0,板塔结合,2010
东南,鸳鸯,33,融科海阔天空,106105067498,3室2厅,149,渝北,精装,95.0,板楼,2011
东南,大竹林,8,龙湖江与城熙溪地,106105071446,4室2厅,250,渝北,毛坯,145.0,板楼,2012
东北,龙头寺,31,中渝梧桐郡C区,106105074069,3室2厅,193,渝北,精装,99.0,塔楼,2015
南北,人和,5,金科天湖美镇,106105078776,4室2厅,268,渝北,精装,143.0,板楼,2005
南,鸳鸯,33,融科海阔天空,106105080594,3室2厅,155,渝北,精装,95.0,板楼,2011
西南,汽博中心,33,叠彩城,106105085924,4室1厅,185,渝北,其他,118.0,塔楼,2007
东南西南,汽博中心,33,奥林匹克花园红城,106105129555,4室1厅,160,渝北,精装,109.0,板塔结合,2009
东南,汽博中心,24,奥林匹克花园新亚洲,106105133388,3室2厅,160,渝北,精装,109.0,板塔结合,2008
东南,嘉州,31,民航小区,106101320101,5室2厅,199,渝北,简装,203.0,板塔结合,2002
东南,嘉州,29,加州城市花园,106101227032,4室2厅,175,渝北,简装,182.0,塔楼,2003
南北,龙头寺,7,华宇天宫花城B组团,106101337593,4室2厅,280,渝北,毛坯,129.0,板楼,2015
东南,鸳鸯,33,复地天玺,106101506204,3室2厅,295,渝北,精装,153.0,板楼,2012
