Direction,District,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Type,Year
南,观沙岭,32,旭辉藏郡,104104381649,3室2厅,178,罗湖区,精装,86.0,板楼,2011
北南,树木岭,34,融科东南海,104104406301,4室2厅,192,罗湖区,精装,140.0,板塔结合,2013
南,河西步步高,22,沁园春御院,104104482971,3室2厅,190,罗湖区,精装,147.0,板楼,2011
南,武广新城,33,江河双水湾,104104399656,4室2厅,142,罗湖区,精装,125.0,板塔结合,2011
北,树木岭,17,天凯东苑,104104468094,2室1厅,69.5,罗湖区,精装,78.0,板塔结合,2004
西南,河西人人乐,18,宜居莱茵城,104104458509,3室2厅,95.8,罗湖区,精装,93.0,板塔结合,2010
东南,福元西路,23,万科城,104104483998,3室2厅,123.8,罗湖区,精装,88.0,板塔结合,2014
南,东塘,5,湖南省中医学院宿舍,104104111030,2室1厅,85,罗湖区,简装,67.0,板楼,1990
南北,武广新城,5,融科檀香山,104104469828,5室2厅,465,罗湖区,毛坯,249.0,板楼,2011
南,马王堆,7,牛奶公司宿舍,104102210799,3室1厅,84,罗湖区,毛坯,128.0,板楼,2000
东,含浦,17,利海米兰春天,104104412225,2室2厅,51.8,罗湖区,精装,60.0,板塔结合,2016
南,武广新城,26,茂华国际湘,104104472593,2室1厅,95,罗湖区,精装,84.0,板塔结合,2013
南,左家塘,16,曙光大邸,104103107566,3室1厅,118,罗湖区,简装,128.0,板塔结合,2006
南,火车站,31,凯通国际城,104104412515,2室1厅,67.6,罗湖区,精装,55.0,板塔结合,2013
南北,武广新城,5,绿城桂花城,104104431734,3室2厅,174.8,罗湖区,精装,136.0,板楼,2007
南北,武广新城,34,万科金域华府,104104203029,4室2厅,156,罗湖区,精装,127.0,板塔结合,2013
南,火车站,32,凯通国际城,104103912069,2室2厅,61.8,罗湖区,精装,59.0,板塔结合,2012
南北,梅溪湖北岸,6,航发锦绣家园,104102474942,3室2厅,95,罗湖区,简装,98.0,板楼,2003
北,赤岗冲,29,佳天瑞宁花园,104103188393,1室1厅,60,罗湖区,精装,50.0,塔楼,2008
南,市政府,6,八方小区A区,104104456436,4室2厅,539,罗湖区,精装,187.0,板楼,2003
南北,福元西路,34,万科城,104103731045,4室1厅,162,罗湖区,精装,127.0,板塔结合,2014
南,河西人人乐,32,宜居莱茵城,104104475110,3室2厅,93.8,罗湖区,精装,89.0,板塔结合,2012
北,马王堆,31,东玺门,104104297395,3室1厅,99,罗湖区,精装,91.0,塔楼,2009
南,喜盈门,29,五矿万境水岸一期,104103827949,3室2厅,122,罗湖区,简装,86.0,板塔结合,2013
南,树木岭,32,香樟兰亭,104104386229,2室1厅,96.8,罗湖区,精装,72.0,板塔结合,2014
南,观沙岭,6,钰龙天下,104104430363,3室2厅,218,罗湖区,简装,93.0,板塔结合,2012
南,韶山南路,18,上海城,104104170346,3室2厅,95.8,罗湖区,精装,89.0,塔楼,2009
南,广电,18,美利新世界,104103211278,3室2厅,99,罗湖区,简装,121.0,板塔结合,2012
南,河西人人乐,17,联美品格,104103361034,3室2厅,110,罗湖区,精装,112.0,板楼,2014
南,左家塘,46,长房天翼未来城,104103365542,4室2厅,220,罗湖区,毛坯,164.0,板塔结合,2015
南,武广新城,5,绿城桂花城,104103578269,4室2厅,233,罗湖区,精装,166.0,板塔结合,2007
南,桂花村,20,朝阳银座,104103618864,2室1厅,62,罗湖区,精装,54.0,板塔结合,2005
南北,金盆岭,31,通用时代国际社区,104103624753,3室2厅,139.6,罗湖区,毛坯,103.0,板塔结合,2014
南,武广新城,20,天湘華庭,104103703559,2室1厅,81,罗湖区,精装,87.0,板塔结合,2009
南,河西人人乐,14,长房时代城,104103774008,1室0厅,43.8,罗湖区,精装,39.0,板塔结合,2012
东,开元路,31,水岸世景,104104007647,1室1厅,29.5,罗湖区,简装,36.0,塔楼,2015
南北,汽车东站,17,辉煌国际城,104104084668,4室2厅,165,罗湖区,毛坯,150.0,板塔结合,2015
南,武广新城,14,三江花中城,104104099694,3室2厅,136,罗湖区,精装,122.0,板楼,2008
南,金星北,24,南山苏迪亚诺,104104119858,4室2厅,112,罗湖区,毛坯,136.0,板塔结合,2013
南,滨江新城,31,恒大御景湾,104102549663,1室1厅,51.5,罗湖区,精装,48.0,塔楼,2016
东,马王堆,3,紫莱阁,104103174974,1室1厅,41.8,罗湖区,精装,50.0,平房,2012
南,泉塘,32,金科时代中心,104103832962,1室1厅,23,罗湖区,精装,33.0,板塔结合,2015
南,武广新城,24,星城映象,104104072296,2室2厅,90,罗湖区,精装,80.0,板塔结合,2010
北,市政府,32,恒大华府,104104130131,1室1厅,38,罗湖区,精装,42.0,板塔结合,2014
南,暮云,15,鑫远和城,104104213167,1室1厅,46,罗湖区,精装,44.0,板塔结合,2014
南北,四方坪,18,佳阳悦景馨都,104101538797,3室2厅,123,罗湖区,精装,127.0,板楼,2007
南,东塘,6,金科园,104102236375,2室2厅,58,罗湖区,精装,53.0,板楼,2007
南,新开铺,21,博林金谷,104102714262,2室2厅,102,罗湖区,精装,81.0,板楼,2008
南,省政府,16,保利花园三期,104102917880,2室1厅,93,罗湖区,精装,84.0,板楼,2011
南北,金霞,11,山语城二期,104103473311,2室1厅,83,罗湖区,精装,90.0,板塔结合,2013
南北,雨花亭,11,华银园,104103479742,3室1厅,128,罗湖区,精装,125.0,板塔结合,2006
南,四方坪,24,如果爱,104103630231,2室1厅,69,罗湖区,精装,81.0,板塔结合,2008
南,武广新城,17,优山美地,104103642653,2室2厅,85,罗湖区,精装,70.0,板楼,2013
东,泉塘,29,时代星城,104103656919,1室1厅,26.2,罗湖区,精装,44.0,塔楼,2010
南,高桥,23,上河国际F区,104103857210,1室1厅,42,罗湖区,精装,53.0,塔楼,2007
西,韶山南路,21,万科金色家园,104104194688,1室1厅,30.5,罗湖区,精装,32.0,板塔结合,2007
南北,赤岗冲,12,福乐康城,104104271037,3室2厅,130,罗湖区,精装,137.0,板楼,2007
东南,金盆岭,28,钱隆樽品,104104338726,3室2厅,132,罗湖区,精装,121.0,板楼,2014
南,福元西路,12,珠江花城一期,104104381465,3室1厅,95,罗湖区,简装,92.0,板塔结合,2007
南北,湘江世纪城,28,世纪城赏江苑,104104392520,3室2厅,158,罗湖区,简装,126.0,塔楼,2008
南,左家塘,8,上民航宿舍,104103510028,2室1厅,66,罗湖区,精装,66.0,塔楼,2001
南,桂花村,5,曙光妹子山社区,104103608887,2室1厅,47.5,罗湖区,精装,64.0,板楼,1987
南,福元西路,23,万科城,104103620924,2室2厅,95,罗湖区,精装,75.0,板塔结合,2014
南,左家塘,6,狮子山一片小区,104103670830,1室1厅,29.8,罗湖区,简装,41.0,板楼,2004
南,武广新城,6,三江花中城,104103753526,2室2厅,120,罗湖区,精装,95.0,板楼,2008
东,梅溪湖北岸,32,旭辉御府,104103806760,2室2厅,113,罗湖区,精装,79.0,塔楼,2015
南,福元西路,34,万国城三期,104103894600,2室2厅,90,罗湖区,精装,74.0,板塔结合,2012
南,新开铺,31,克拉美丽山庄,104103918088,2室1厅,89.5,罗湖区,精装,87.0,塔楼,2011
南,市政府,31,新兴北京御园,104104033125,2室2厅,120,罗湖区,精装,78.0,板塔结合,2010
南,枫林三路,7,麓谷锦和园,104104168676,2室2厅,52,罗湖区,毛坯,73.0,板楼,2007
南,金盆岭,33,通用时代国际社区,104104257955,2室2厅,109,罗湖区,精装,76.0,板塔结合,2014
南北,武广新城,18,茂华禧都会,104104262031,3室2厅,183,罗湖区,精装,137.0,板塔结合,2014
北,四方坪,7,蒋家垅社区,104104263030,1室1厅,32,罗湖区,毛坯,48.0,板楼,1995
南,汽车东站,33,东门尚苑,104102010902,3室2厅,76.8,罗湖区,毛坯,116.0,板楼,2008
北,桂花村,18,颐美园,104102366885,3室1厅,138,罗湖区,简装,121.0,板塔结合,2001
南,韶山南路,7,湘樟园,104102721123,3室2厅,62,罗湖区,精装,88.0,板楼,2004
南,望城区,34,新城国际花都三期,104104100407,3室2厅,79.5,罗湖区,精装,96.0,板塔结合,2014
南,市政府,30,恒大华府,104104113941,3室2厅,145,罗湖区,精装,91.0,板塔结合,2014
南,火车站,32,凯通国际城,104104134598,3室2厅,93,罗湖区,精装,83.0,板塔结合,2013
南,湘江世纪城,33,世纪城鸿江苑,104104138629,3室2厅,158,罗湖区,精装,134.0,板楼,2008
东南,左家塘,7,财富时代,104104204648,3室2厅,98,罗湖区,精装,125.0,塔楼,1998
南,阳光100,17,阳光100国际新城三期,104104208623,2室2厅,100,罗湖区,精装,84.0,板塔结合,2009
南,含浦,33,中海国际社区2期,104104233428,3室2厅,105.8,罗湖区,精装,98.0,塔楼,2013
南,北辰三角洲,30,君悦香邸,104104258650,3室2厅,178,罗湖区,精装,132.0,板塔结合,2007
南,河西人人乐,7,水木兰庭,104102612641,3室2厅,86,罗湖区,精装,110.0,板楼,2006
南,福元西路,34,万科城,104102661451,2室1厅,100,罗湖区,精装,75.0,板塔结合,2014
南,北辰三角洲,33,北辰三角洲奥城D3区,104103627143,2室2厅,138,罗湖区,精装,86.0,板塔结合,2013
